question_id,type_id,titles,options,Knowledge_id
83,2,12月8日凌晨 一枚携带嫦娥四号探测器的长征三号乙运载火箭发射升空 嫦娥四号将 进军 月球背面 实现人类历史上第一个在月球背面留下的 足迹 如图所示 是在月球上看到的 地出 现象 在月球上看到的 地出 现象是以 为参照物,,6
84,2,有两个测量数据分别为28 4厘米和50 30厘米 试判断 第一个数据测量时所用工具的分度值是 准确值是 估计值是 第二个数据测量时所用的工具的分度值是 准确值是 估计值是,,7
85,2,晶体都有一定的熔化温度 叫做 非晶体 熔点,,2
86,3,物理学中把具有流动性的液体和气体统称为流体 当流体处于流动状态时 其内部各处的压强有什么规律呢 小李同学将图11 a 所示的玻璃管装置接到水流稳定的自来水管上 当水在玻璃管中 流动时 可看到两个竖直管中液面的髙度并不相同 从图中可以看出a b两处管的粗细不 同 因而a处流速小 b处流速大 可见流体的压强与流速之间有着一定的关系 接着 小明又自制了一个飞机机翼模型 如图11 b 将其固定在托盘测力计上 在模 型的正前方用电扇迎面吹风来模拟飞机飞行时的气流 1 由图 a 的实验现象 得出流体压强与流速之间的初步结论是 2 在图 b 所示的实验中 电扇没有吹风时 托盘测力计示数等于机翼模型的重力大小 当电扇转动后 发现托盘测力计的示数减小了 请用上述实验结论 原因 3 下列情形中 能够运用上述实验结论进行解释的是 选填序号 a 将氢气球放手后 它会飘向空中 b 地铁站台上 人必须在瞀戒线外候车 c 船舶航行时应避免两艘靠近的船并排前进,,18
87,2,如图所示是小明同学设计的一个气体温度计的示意图 瓶中装的是气体 瓶塞不漏气 弯管中间有一段液柱 这个温度计是根据气体的 来测量温度的 若将瓶放到冰水混合物中 液柱在a处 b c是与a点相差2摄氏度的两点 则a处的温度是 b处的温度比a处 填高或低,,1
88,2,如图所示是我们实验用的天平 放在水平工作台面上 砝码盒中配备的砝码有50 g 20 g 10 g 5 g等 现有一质量待测的物体 估计其质量在30 g左右 请将以下实验操作补充完整 1 把游码移到标尺的 观察指针的偏转情况 通过调节 使天平横梁平衡 2 把物体放入左盘 用镊子夹取 g g砝码各一个放入右盘中 若指针右偏 则应取下 g砝码 加上 g砝码 同时调节游码 直到天平平衡 3 将右盘中砝码的质量与标尺上游码所对应的质量值相加 即得待测物体的质量,,4
89,4,4月16日 海南自主研发的地效翼船在海口桂林洋海域首次实现双船试飞 据了解 地效翼船俗称会飞的船 停在水面像船 起飞后则像飞机 此次试飞的cyg-11型翼船某型号飞行器的总质量为1 0*10 <sub> 3 < sub> t 最大飞行速度为720km h 百公里耗油28升 飞行器飞行时 机翼上方气流比下方气流的流速 飞行器飞行时 将燃料的 能转化为飞行器的 能 飞行器以最大速度飞行1440km 需要 h,,18
90,4,如图是某种晶体加热时 温度随时间变化的图象 加热在一标准大气压下进行 每分钟供热不变 根据图象可知 这种晶体的熔点是 液态名称是 加热 钟物体处于 状态 加热 钟时 此物质的温度是 此时进行的物态变化是 这种晶体熔化经历了 分钟,,3
91,4,一装卸工人用如图所示的滑轮组匀速提升质量为80kg的货物 所用的拉力 f 为500n 货物在50s内被匀速提升2m 求 img 1 提升前货物静止在地面上 与地面的接触面积为0 04㎡ 求货物对地面的压强 2 滑轮组的机械效率 3 拉力做功的功率 4 若不计绳重和摩擦 则动滑轮有多重,,15
92,6,如图所示 建筑工人将绳的一端固定在砖上 绳的另一端系上重锤 用来检查墙壁是否竖直 重锤静止时 与重锤的重力相平衡的力是,砖对绳的拉力 绳对砖的拉力重锤对绳的拉力 绳对重锤的拉力,10
93,6,下列说法中正确的是,称量物体质量的过程中 若天平横梁不平衡 可调节平衡螺母 用托盘天平不能直接测出一枚大头针的质量 是因为一枚大头针的质量大于托盘天平的分度值 使用托盘天平称量时 左盘放砝码 右盘放物体 用托盘天平称量物体质量时 若砝码磨损 则测量值将偏大,4
94,3,某小组测量牛奶密度的实验步骤如下 ①用已调好的天平测量出空烧杯的质量m <sub> 1 </sub> =20g ②取适量牛奶作为样品倒入烧杯 用天平测量烧杯和牛奶的总质量m <sub> 2 </sub> 砝码和游码在标尺上的位置如图甲所示 ③将烧杯中的牛奶倒入量筒中 读出图乙量筒中牛奶的体积v 用这种方法测得牛奶样品的质量m= g 密度ρ= g/cm <sub> 3 </sub> 这个密度比真实值要偏 选填 大 或 小 现要求更精确的测量牛奶的密度 请你在步骤③后增加一步 并写出用测量的量表示牛奶密度的表达式 增加的步骤 密度的表达式,,5
95,6,下列物体中不属于光源的是,萤火虫 水母 月亮 宇宙中的恒星,23
96,2,在探究凸透镜成像规律的实验中 由图可知凸透镜的焦距为 cm 当烛焰距凸透镜30cm时 移动光屏 可在光屏上得到一个倒立 的实像,,27
97,5,在弹簧测力计下悬挂一个金属零件 示数是2 7n 当把零件浸没在水中时 弹簧测力计的示数是1 7n 现把该零件浸没在另一种液体中时 弹簧测力计的示数是1 9n 求 1 该零件浸没在水中时受到的浮力f <sub> 浮 < sub> 2 该金属零件的密度ρ <sub> 金 < sub> 3 另一种液体的密度ρ <sub> 液 < sub>,,19
98,2,小芳在爷爷家看到爷爷的眼镜很漂亮 于是她拿着眼镜靠近 早餐饼干 的包装盒 看到如右图的情景 据此小芳知道爷爷 是 选填近 远 视眼 爷爷如不戴此眼镜会因为成的像在视网膜的 选填前 后 方而看不清物体 此时包装盒上的字一定位于此眼镜镜片的焦点以 选填内 外,,28
99,2,2014年4月 我国首架具有完全自主知识产权的arj21新型涡扇支线飞机首次飞越 国门 圆满完成自然结冰试飞并实现3万公里环球飞行 飞机结冰是指飞机机体表面某些部位聚集冰层的现象 它主要由云中过冷水滴或降雨中的过冷雨水碰到飞机机体后 形成的 也可由水蒸气直接在机体表面 而成 填写物态变化名称,,2
100,6,关于摩擦力 下列说法中正确的是,两个物体相互接触时 它们之间一定有摩擦力 滚动摩擦力比滑动摩擦力小 物体质量越大 受到的摩擦力越大 摩擦力都是有害的,13
